Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,
train_pasture.0,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.437000,0.016000,0.000000,
train_pasture.1,48.148148,0.000000,0.000000,0.555556,0.555556,1.000000,0.602010,0.521375,0.415584,0.156000,0.000000,0.000000,
train_pasture.10,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,0.000000,
train_pasture.11,11.111111,0.000000,0.000000,1.444444,1.444444,1.777778,-0.563602,-0.531369,-0.444444,0.063000,0.000000,0.000000,
train_pasture.12,51.851852,0.000000,0.000000,0.629630,0.629630,1.000000,0.456435,0.430331,0.370370,0.062000,0.000000,0.000000,
train_pasture.13,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.063000,0.000000,0.000000,
train_pasture.14,59.259259,0.000000,0.000000,0.407407,0.407407,1.000000,0.768615,0.707630,0.582278,0.062000,0.000000,0.000000,
train_pasture.15,37.037037,0.000000,0.000000,0.777778,0.777778,1.000000,0.295122,0.257172,0.181818,0.062000,0.000000,0.000000,
train_pasture.16,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,0.000000,
train_pasture.17,14.814815,0.000000,0.000000,1.370370,1.370370,1.555556,-0.481125,-0.453609,-0.370370,0.078000,0.016000,0.000000,
train_pasture.18,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.125000,0.000000,0.000000,
train_pasture.19,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.109000,0.000000,0.000000,
train_pasture.2,29.629630,0.000000,0.000000,0.740741,0.740741,1.000000,0.395453,0.319513,0.166667,0.078000,0.000000,0.000000,
train_pasture.20,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.124000,0.000000,0.000000,
train_pasture.21,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.125000,0.000000,0.000000,
train_pasture.22,48.148148,36.688081,11.111111,0.518519,0.518519,0.888889,0.642039,0.551207,0.432432,0.110000,0.000000,0.000000,
train_pasture.23,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.141000,0.000000,0.000000,
train_pasture.24,70.370370,70.181773,66.666667,0.481481,0.481481,0.666667,0.411839,0.400878,0.480000,0.172000,0.000000,0.000000,
train_pasture.25,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.156000,0.000000,0.000000,
train_pasture.26,44.444444,34.524806,11.111111,0.592593,0.592593,0.888889,0.527046,0.455495,0.351351,0.094000,0.000000,0.000000,
train_pasture.27,48.148148,0.000000,0.000000,0.629630,0.629630,1.000000,0.474579,0.426683,0.354430,0.063000,0.000000,0.000000,
train_pasture.28,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,0.000000,
train_pasture.29,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,0.000000,
train_pasture.3,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.046000,0.000000,0.000000,
train_pasture.4,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,0.000000,
train_pasture.5,44.444444,0.000000,0.000000,0.555556,0.555556,1.000000,0.617758,0.517801,0.400000,0.062000,0.000000,0.000000,
train_pasture.6,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,0.000000,
train_pasture.7,48.148148,0.000000,0.000000,0.703704,0.703704,1.000000,0.365148,0.344265,0.296296,0.047000,0.000000,0.000000,
train_pasture.8,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,0.000000,
train_pasture.9,40.740741,0.000000,0.000000,0.851852,0.851852,1.000000,0.192450,0.181444,0.148148,0.077000,0.000000,0.000000,
