Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_pasture.0,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.018000,0.017000,7.958000,10.000000,0.100000,
train_pasture.1,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.016000,6.827000,100.000000,0.001000,
train_pasture.10,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.016000,6.515000,10.000000,0.010000,
train_pasture.11,96.296296,96.149971,88.888889,0.037037,0.037037,0.111111,0.974279,0.964951,0.958904,0.000000,0.015000,6.672000,1.000000,0.100000,
train_pasture.12,85.185185,83.994737,66.666667,0.148148,0.148148,0.333333,0.895979,0.861300,0.837838,0.000000,0.016000,6.827000,10.000000,0.001000,
train_pasture.13,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.016000,6.687000,1000.000000,0.001000,
train_pasture.14,81.481481,76.314283,44.444444,0.185185,0.185185,0.555556,0.885365,0.848668,0.805195,0.000000,0.016000,6.953000,10.000000,0.001000,
train_pasture.15,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.015000,6.765000,10.000000,0.100000,
train_pasture.16,88.888889,88.423494,77.777778,0.111111,0.111111,0.222222,0.920152,0.894847,0.876712,0.016000,0.016000,6.765000,10.000000,0.001000,
train_pasture.17,96.296296,96.149971,88.888889,0.037037,0.037037,0.111111,0.974279,0.964951,0.958904,0.016000,0.015000,7.477000,10.000000,0.010000,
train_pasture.18,81.481481,80.760915,66.666667,0.185185,0.185185,0.333333,0.866025,0.824744,0.794521,0.013000,0.014000,6.768000,10.000000,0.001000,
train_pasture.19,92.592593,91.964139,77.777778,0.074074,0.074074,0.222222,0.952217,0.933642,0.918919,0.016000,0.016000,6.128000,100.000000,0.001000,
train_pasture.2,88.888889,88.888889,88.888889,0.111111,0.111111,0.111111,0.915657,0.890724,0.873239,0.019000,0.012000,7.244000,10.000000,0.001000,
train_pasture.20,92.592593,92.448170,88.888889,0.074074,0.074074,0.111111,0.944444,0.925926,0.916667,0.017000,0.016000,7.213000,10.000000,0.001000,
train_pasture.21,85.185185,84.574029,77.777778,0.148148,0.148148,0.222222,0.892570,0.861858,0.833333,0.016000,0.000000,6.932000,10.000000,0.001000,
train_pasture.22,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.014000,0.017000,6.884000,100.000000,0.010000,
train_pasture.23,92.592593,91.964139,77.777778,0.074074,0.074074,0.222222,0.948683,0.931695,0.918919,0.015000,0.016000,6.782000,10.000000,0.001000,
train_pasture.24,88.888889,87.358046,66.666667,0.111111,0.111111,0.333333,0.926638,0.901975,0.880000,0.016000,0.014000,6.891000,10.000000,0.001000,
train_pasture.25,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.016000,6.640000,100.000000,0.001000,
train_pasture.26,88.888889,88.423494,77.777778,0.111111,0.111111,0.222222,0.920152,0.894847,0.876712,0.016000,0.015000,7.063000,10.000000,0.001000,
train_pasture.27,85.185185,85.019164,77.777778,0.148148,0.148148,0.222222,0.888889,0.855967,0.833333,0.015000,0.017000,6.812000,10.000000,0.001000,
train_pasture.28,77.777778,77.245037,66.666667,0.222222,0.222222,0.333333,0.833333,0.786008,0.750000,0.000000,0.016000,6.594000,10.000000,0.001000,
train_pasture.29,92.592593,91.964139,77.777778,0.074074,0.074074,0.222222,0.952217,0.933642,0.918919,0.016000,0.015000,6.641000,10.000000,0.001000,
train_pasture.3,88.888889,87.358046,66.666667,0.111111,0.111111,0.333333,0.926638,0.901975,0.880000,0.048000,0.000000,6.734000,10.000000,0.001000,
train_pasture.4,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.016000,6.562000,1000.000000,0.001000,
train_pasture.5,88.888889,87.358046,66.666667,0.111111,0.111111,0.333333,0.926638,0.901975,0.880000,0.014000,0.016000,6.721000,10.000000,0.001000,
train_pasture.6,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.016000,7.860000,100.000000,0.001000,
train_pasture.7,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,6.500000,1000.000000,0.001000,
train_pasture.8,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.015000,6.734000,10.000000,0.100000,
train_pasture.9,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.019000,0.011000,6.656000,10.000000,0.100000,
