Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,
train_pyrim10.0,48.000000,45.173877,20.000000,0.640000,0.640000,1.200000,0.946544,0.854600,0.808841,0.202000,0.000000,0.000000,
train_pyrim10.1,66.000000,62.327739,40.000000,0.360000,0.360000,0.800000,0.976558,0.926157,0.890777,0.157000,0.000000,0.000000,
train_pyrim10.10,70.000000,67.669055,40.000000,0.360000,0.360000,0.600000,0.968438,0.916706,0.890644,0.094000,0.015000,0.000000,
train_pyrim10.11,52.000000,46.492323,20.000000,0.640000,0.640000,1.400000,0.939543,0.852189,0.806295,0.109000,0.000000,0.000000,
train_pyrim10.12,62.000000,56.870542,20.000000,0.520000,0.520000,1.400000,0.946935,0.869597,0.842805,0.094000,0.000000,0.000000,
train_pyrim10.13,56.000000,0.000000,0.000000,0.500000,0.500000,1.000000,0.962060,0.896928,0.847561,0.110000,0.000000,0.000000,
train_pyrim10.14,58.000000,51.557339,20.000000,0.520000,0.520000,1.400000,0.949348,0.878399,0.842805,0.109000,0.000000,0.000000,
train_pyrim10.15,74.000000,70.302253,40.000000,0.380000,0.380000,1.200000,0.956948,0.897107,0.883721,0.109000,0.000000,0.000000,
train_pyrim10.16,60.000000,56.274497,20.000000,0.480000,0.480000,1.000000,0.960976,0.888692,0.852941,0.094000,0.000000,0.000000,
train_pyrim10.17,38.000000,0.000000,0.000000,0.800000,0.800000,1.400000,0.925122,0.821125,0.757869,0.202000,0.000000,0.000000,
train_pyrim10.18,52.000000,46.492323,20.000000,0.580000,0.580000,1.000000,0.949988,0.871718,0.823601,0.093000,0.000000,0.000000,
train_pyrim10.19,58.000000,0.000000,0.000000,0.500000,0.500000,1.200000,0.960451,0.894160,0.849216,0.128000,0.000000,0.000000,
train_pyrim10.2,56.000000,53.405655,40.000000,0.480000,0.480000,1.000000,0.963249,0.898177,0.853301,0.124000,0.000000,0.000000,
train_pyrim10.3,52.000000,0.000000,0.000000,0.620000,0.620000,1.400000,0.934186,0.852432,0.809113,0.125000,0.000000,0.000000,
train_pyrim10.4,74.000000,65.862638,20.000000,0.340000,0.340000,1.200000,0.968215,0.924246,0.898082,0.125000,0.000000,0.000000,
train_pyrim10.5,54.000000,48.989795,20.000000,0.580000,0.580000,1.200000,0.946767,0.870544,0.821648,0.093000,0.000000,0.000000,
train_pyrim10.6,58.000000,54.038402,20.000000,0.500000,0.500000,1.000000,0.959840,0.884930,0.848117,0.079000,0.000000,0.000000,
train_pyrim10.7,80.000000,76.146158,40.000000,0.260000,0.260000,1.000000,0.974758,0.934107,0.921212,0.140000,0.000000,0.000000,
train_pyrim10.8,54.000000,0.000000,0.000000,0.640000,0.640000,1.400000,0.936902,0.850671,0.805353,0.094000,0.000000,0.000000,
train_pyrim10.9,70.000000,68.030317,40.000000,0.320000,0.320000,0.600000,0.977942,0.931317,0.901840,0.063000,0.000000,0.000000,
