Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,
train_tae.0,75.221239,74.991252,69.444444,0.265487,0.266757,0.333333,0.759359,0.720402,0.689674,0.249000,0.000000,0.000000,
train_tae.1,72.566372,72.192079,64.864865,0.318584,0.320166,0.459459,0.686512,0.649050,0.635549,0.348000,0.000000,0.000000,
train_tae.10,67.256637,66.930336,62.162162,0.362832,0.364287,0.459459,0.662837,0.617350,0.583775,0.251000,0.000000,0.000000,
train_tae.11,76.106195,75.931444,70.270270,0.265487,0.266574,0.297297,0.760467,0.718739,0.700371,0.251000,0.000000,0.000000,
train_tae.12,68.141593,67.213231,55.555556,0.353982,0.357925,0.555556,0.648276,0.608443,0.576937,0.266000,0.000000,0.000000,
train_tae.13,77.876106,77.859360,75.675676,0.274336,0.274197,0.351351,0.707956,0.678367,0.687372,0.249000,0.000000,0.000000,
train_tae.14,76.991150,76.417132,66.666667,0.256637,0.260121,0.416667,0.753931,0.719690,0.700976,0.328000,0.000000,0.000000,
train_tae.15,69.026549,69.030678,68.421053,0.353982,0.354551,0.388889,0.652962,0.611705,0.592352,0.249000,0.000000,0.000000,
train_tae.16,72.566372,71.949916,63.888889,0.292035,0.295209,0.416667,0.742666,0.699328,0.662075,0.250000,0.000000,0.000000,
train_tae.17,76.991150,77.033760,74.358974,0.300885,0.300457,0.358974,0.666706,0.639718,0.660661,0.219000,0.016000,0.000000,
train_tae.18,70.796460,70.757156,69.230769,0.318584,0.319201,0.361111,0.701847,0.657438,0.627609,0.329000,0.000000,0.000000,
train_tae.19,71.681416,71.480709,67.567568,0.309735,0.311157,0.378378,0.724507,0.676518,0.646654,0.250000,0.000000,0.000000,
train_tae.2,69.911504,69.423028,59.459459,0.327434,0.327789,0.432432,0.693790,0.653146,0.616738,0.250000,0.000000,0.000000,
train_tae.20,76.106195,75.978092,72.222222,0.265487,0.266757,0.333333,0.747425,0.710853,0.691986,0.235000,0.000000,0.000000,
train_tae.21,76.106195,75.846888,70.270270,0.274336,0.275583,0.378378,0.735854,0.700062,0.687260,0.344000,0.000000,0.000000,
train_tae.22,69.911504,69.159059,56.756757,0.327434,0.328713,0.513514,0.691083,0.650816,0.613978,0.312000,0.000000,0.000000,
train_tae.23,74.336283,74.148582,69.444444,0.318584,0.319688,0.388889,0.657336,0.627563,0.635419,0.500000,0.000000,0.000000,
train_tae.24,73.451327,72.652680,61.111111,0.283186,0.286475,0.444444,0.741834,0.702786,0.663941,0.357000,0.000000,0.000000,
train_tae.25,70.796460,70.363640,64.864865,0.300885,0.302148,0.351351,0.754237,0.702004,0.656289,0.282000,0.000000,0.000000,
train_tae.26,75.221239,74.547573,63.888889,0.292035,0.295734,0.472222,0.697744,0.665832,0.659545,0.250000,0.000000,0.000000,
train_tae.27,75.221239,75.172385,72.972973,0.292035,0.292215,0.324324,0.711525,0.676149,0.669620,0.263000,0.000000,0.000000,
train_tae.28,75.221239,75.124334,72.222222,0.300885,0.302369,0.388889,0.680755,0.649049,0.653312,0.469000,0.000000,0.000000,
train_tae.29,71.681416,71.192492,63.888889,0.336283,0.338656,0.444444,0.657408,0.621381,0.615371,0.281000,0.000000,0.000000,
train_tae.3,76.991150,76.757980,72.222222,0.247788,0.249175,0.305556,0.779604,0.741383,0.714182,0.235000,0.000000,0.000000,
train_tae.4,73.451327,73.128637,64.864865,0.274336,0.274659,0.378378,0.766068,0.723677,0.676457,0.281000,0.000000,0.000000,
train_tae.5,72.566372,71.932393,62.162162,0.309735,0.311157,0.432432,0.704941,0.666911,0.644558,0.234000,0.000000,0.000000,
train_tae.6,44.247788,0.000000,0.000000,0.787611,0.795334,1.027027,0.263216,0.248863,0.208546,0.343000,0.000000,0.000000,
train_tae.7,70.796460,70.229098,61.111111,0.318584,0.321600,0.472222,0.697063,0.655453,0.621933,0.297000,0.000000,0.000000,
train_tae.8,69.026549,68.800859,62.162162,0.345133,0.346269,0.486486,0.670300,0.627079,0.598451,0.247000,0.000000,0.000000,
train_tae.9,73.451327,73.128637,64.864865,0.283186,0.283206,0.351351,0.745585,0.705791,0.669711,0.327000,0.000000,0.000000,
