Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_pasture.0,81.481481,81.317905,77.777778,0.185185,0.185185,0.222222,0.858429,0.820620,0.788732,0.016000,0.000000,4.671000,10.000000,0.001000,
train_pasture.1,77.777778,77.245037,66.666667,0.222222,0.222222,0.333333,0.833333,0.786008,0.750000,0.016000,0.000000,4.048000,10.000000,0.001000,
train_pasture.10,88.888889,88.423494,77.777778,0.111111,0.111111,0.222222,0.920152,0.894847,0.876712,0.015000,0.000000,4.078000,10.000000,0.001000,
train_pasture.11,81.481481,81.317905,77.777778,0.185185,0.185185,0.222222,0.858429,0.820620,0.788732,0.016000,0.000000,3.750000,10.000000,0.001000,
train_pasture.12,96.296296,96.149971,88.888889,0.037037,0.037037,0.111111,0.974279,0.964951,0.958904,0.015000,0.000000,3.813000,100.000000,0.001000,
train_pasture.13,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3.827000,10.000000,0.010000,
train_pasture.14,77.777778,69.336127,33.333333,0.222222,0.222222,0.666667,0.868711,0.826874,0.769231,0.015000,0.000000,3.734000,1.000000,0.010000,
train_pasture.15,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,3.766000,100.000000,0.010000,
train_pasture.16,81.481481,81.317905,77.777778,0.185185,0.185185,0.222222,0.858429,0.820620,0.788732,0.015000,0.000000,3.797000,10.000000,0.001000,
train_pasture.17,77.777778,77.245037,66.666667,0.222222,0.222222,0.333333,0.824958,0.778483,0.742857,0.017000,0.000000,3.781000,10.000000,0.001000,
train_pasture.18,77.777778,77.245037,66.666667,0.222222,0.222222,0.333333,0.833333,0.786008,0.750000,0.016000,0.000000,3.890000,10.000000,0.001000,
train_pasture.19,77.777778,77.245037,66.666667,0.222222,0.222222,0.333333,0.833333,0.786008,0.750000,0.015000,0.000000,3.812000,10.000000,0.001000,
train_pasture.2,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.000000,4.516000,100.000000,0.010000,
train_pasture.20,81.481481,81.317905,77.777778,0.185185,0.185185,0.222222,0.853067,0.818459,0.782609,0.016000,0.000000,3.687000,10.000000,0.001000,
train_pasture.21,81.481481,81.317905,77.777778,0.185185,0.185185,0.222222,0.858429,0.820620,0.788732,0.015000,0.000000,3.579000,10.000000,0.001000,
train_pasture.22,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,3.953000,100.000000,0.010000,
train_pasture.23,77.777778,69.336127,33.333333,0.222222,0.222222,0.666667,0.868711,0.826874,0.769231,0.016000,0.000000,3.703000,10.000000,0.001000,
train_pasture.24,81.481481,76.314283,44.444444,0.185185,0.185185,0.555556,0.885365,0.848668,0.805195,0.016000,0.000000,3.733000,1.000000,0.010000,
train_pasture.25,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.030000,0.000000,4.704000,1.000000,0.010000,
train_pasture.26,85.185185,85.019164,77.777778,0.148148,0.148148,0.222222,0.888889,0.855967,0.833333,0.032000,0.000000,3.952000,10.000000,0.001000,
train_pasture.27,81.481481,81.317905,77.777778,0.185185,0.185185,0.222222,0.858429,0.820620,0.788732,0.016000,0.000000,3.969000,10.000000,0.001000,
train_pasture.28,85.185185,83.994737,66.666667,0.148148,0.148148,0.333333,0.895979,0.861300,0.837838,0.016000,0.000000,3.577000,1.000000,0.010000,
train_pasture.29,88.888889,88.423494,77.777778,0.111111,0.111111,0.222222,0.920152,0.890724,0.876712,0.016000,0.000000,3.687000,10.000000,0.001000,
train_pasture.3,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.000000,3.610000,1000.000000,0.001000,
train_pasture.4,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,4.531000,100.000000,0.010000,
train_pasture.5,77.777778,69.336127,33.333333,0.222222,0.222222,0.666667,0.876919,0.832704,0.769231,0.015000,0.000000,3.719000,1.000000,0.010000,
train_pasture.6,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,3.703000,1000.000000,0.001000,
train_pasture.7,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,3.656000,100.000000,0.010000,
train_pasture.8,85.185185,85.019164,77.777778,0.148148,0.148148,0.222222,0.892570,0.857734,0.833333,0.015000,0.000000,4.032000,10.000000,0.001000,
train_pasture.9,96.296296,96.149971,88.888889,0.037037,0.037037,0.111111,0.974279,0.964951,0.958904,0.000000,0.000000,3.563000,10.000000,0.010000,
