Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_pyrim10.0,98.000000,97.793277,80.000000,0.020000,0.020000,0.200000,0.998818,0.995998,0.993947,0.078000,0.000000,4.375000,1000.000000,0.010000,
train_pyrim10.1,70.000000,0.000000,0.000000,0.300000,0.300000,1.000000,0.981711,0.947906,0.908648,0.031000,0.000000,4.610000,100.000000,0.010000,
train_pyrim10.10,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095000,0.000000,4.531000,1000.000000,0.010000,
train_pyrim10.11,48.000000,0.000000,0.000000,0.820000,0.820000,1.800000,0.905126,0.786880,0.735825,0.016000,0.000000,4.469000,10.000000,0.001000,
train_pyrim10.12,54.000000,0.000000,0.000000,0.480000,0.480000,1.000000,0.968494,0.915021,0.850187,0.032000,0.000000,5.047000,100.000000,0.001000,
train_pyrim10.13,40.000000,0.000000,0.000000,0.780000,0.780000,1.800000,0.931399,0.843695,0.746753,0.016000,0.000000,4.735000,1.000000,0.010000,
train_pyrim10.14,74.000000,0.000000,0.000000,0.260000,0.260000,1.000000,0.984307,0.956127,0.921308,0.032000,0.000000,4.687000,1000.000000,0.001000,
train_pyrim10.15,48.000000,0.000000,0.000000,0.680000,0.680000,1.600000,0.935012,0.871881,0.786164,0.014000,0.000000,4.735000,1.000000,0.010000,
train_pyrim10.16,56.000000,0.000000,0.000000,0.500000,0.500000,1.200000,0.962276,0.900236,0.848117,0.032000,0.000000,5.202000,10.000000,0.010000,
train_pyrim10.17,36.000000,0.000000,0.000000,0.800000,0.800000,1.400000,0.932078,0.841166,0.741268,0.015000,0.000000,4.703000,1.000000,0.010000,
train_pyrim10.18,48.000000,0.000000,0.000000,0.580000,0.580000,1.400000,0.956841,0.891632,0.822086,0.016000,0.000000,4.469000,10.000000,0.010000,
train_pyrim10.19,54.000000,0.000000,0.000000,0.540000,0.540000,1.000000,0.956701,0.892387,0.833539,0.016000,0.000000,5.047000,10.000000,0.010000,
train_pyrim10.2,80.000000,0.000000,0.000000,0.200000,0.200000,1.000000,0.988044,0.966689,0.939541,0.031000,0.000000,4.921000,1000.000000,0.001000,
train_pyrim10.3,76.000000,0.000000,0.000000,0.240000,0.240000,1.000000,0.985448,0.957038,0.926829,0.033000,0.000000,4.468000,100.000000,0.010000,
train_pyrim10.4,54.000000,0.000000,0.000000,0.500000,0.500000,1.200000,0.964635,0.906097,0.844334,0.032000,0.000000,4.296000,100.000000,0.001000,
train_pyrim10.5,72.000000,0.000000,0.000000,0.280000,0.280000,1.000000,0.983875,0.952367,0.913899,0.030000,0.000000,4.422000,100.000000,0.010000,
train_pyrim10.6,78.000000,0.000000,0.000000,0.260000,0.260000,1.000000,0.979845,0.947366,0.920828,0.016000,0.000000,4.438000,100.000000,0.010000,
train_pyrim10.7,52.000000,0.000000,0.000000,0.560000,0.560000,1.400000,0.955381,0.894924,0.826087,0.016000,0.000000,4.359000,10.000000,0.010000,
train_pyrim10.8,38.000000,0.000000,0.000000,0.860000,0.860000,1.600000,0.913886,0.819492,0.721863,0.031000,0.000000,4.750000,1.000000,0.010000,
train_pyrim10.9,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.016000,4.499000,1000.000000,0.010000,
