Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_tae.0,90.265487,90.211152,87.179487,0.097345,0.097316,0.128205,0.924151,0.902917,0.887481,0.031000,0.000000,5.779000,10.000000,1.000000,
train_tae.1,98.230088,98.236585,97.297297,0.017699,0.017556,0.027027,0.986748,0.982489,0.980039,0.047000,0.000000,5.188000,1000.000000,1.000000,
train_tae.10,94.690265,94.661132,91.891892,0.053097,0.053130,0.081081,0.960021,0.947877,0.939701,0.031000,0.000000,5.531000,10.000000,1000.000000,
train_tae.11,97.345133,97.343475,97.297297,0.026549,0.026565,0.027027,0.980206,0.973799,0.970161,0.016000,0.000000,7.187000,10.000000,1000.000000,
train_tae.12,92.035398,92.026151,91.666667,0.079646,0.079735,0.083333,0.938948,0.920688,0.909188,0.015000,0.000000,6.938000,10.000000,10.000000,
train_tae.13,95.575221,95.506366,91.891892,0.044248,0.044583,0.081081,0.967142,0.957064,0.949907,0.032000,0.000000,6.015000,10.000000,100.000000,
train_tae.14,96.460177,96.303812,91.666667,0.035398,0.036325,0.083333,0.973182,0.965609,0.959491,0.031000,0.000000,5.907000,10.000000,1000.000000,
train_tae.15,96.460177,96.406099,94.444444,0.035398,0.035837,0.055556,0.973260,0.964942,0.959765,0.032000,0.000000,5.531000,10.000000,1000.000000,
train_tae.16,99.115044,99.114998,97.368421,0.008850,0.008772,0.026316,0.993446,0.991065,0.990045,0.015000,0.000000,5.079000,10.000000,1000.000000,
train_tae.17,98.230088,98.213903,94.736842,0.017699,0.017544,0.052632,0.986914,0.982601,0.980162,0.015000,0.000000,5.578000,10.000000,100.000000,
train_tae.18,98.230088,98.211312,97.222222,0.017699,0.017806,0.027778,0.986562,0.982361,0.979893,0.062000,0.000000,5.703000,1000.000000,0.010000,
train_tae.19,95.575221,95.506366,91.891892,0.044248,0.044583,0.081081,0.967142,0.957064,0.949907,0.032000,0.000000,5.687000,10.000000,1000.000000,
train_tae.2,94.690265,94.711271,92.307692,0.053097,0.052668,0.076923,0.960309,0.947591,0.940138,0.030000,0.000000,5.594000,100.000000,1.000000,
train_tae.20,84.955752,84.447476,75.000000,0.150442,0.152384,0.250000,0.881770,0.854086,0.823486,0.031000,0.015000,5.954000,100.000000,0.010000,
train_tae.21,92.035398,91.900364,86.486486,0.079646,0.080157,0.135135,0.940728,0.923516,0.909205,0.030000,0.000000,6.063000,100.000000,1.000000,
train_tae.22,91.150442,91.119033,87.179487,0.088496,0.087780,0.128205,0.931962,0.913115,0.898198,0.062000,0.000000,6.079000,100.000000,0.100000,
train_tae.23,96.460177,96.480659,94.871795,0.035398,0.035125,0.051282,0.973279,0.964966,0.959808,0.016000,0.000000,6.484000,10.000000,1000.000000,
train_tae.24,92.035398,92.026151,89.743590,0.088496,0.088057,0.128205,0.918334,0.902779,0.898836,0.015000,0.000000,5.282000,100.000000,0.100000,
train_tae.25,99.115044,99.090859,97.297297,0.008850,0.009009,0.027027,0.993455,0.991421,0.990050,0.047000,0.000000,5.078000,1000.000000,0.100000,
train_tae.26,99.115044,99.065366,97.222222,0.008850,0.009259,0.027778,0.993363,0.991417,0.989978,0.063000,0.000000,4.922000,1000.000000,1.000000,
train_tae.27,97.345133,97.318432,94.594595,0.026549,0.026565,0.054054,0.980115,0.974015,0.969955,0.020000,0.000000,5.437000,10.000000,1000.000000,
train_tae.28,96.460177,96.406099,94.444444,0.035398,0.035837,0.055556,0.973260,0.964942,0.959765,0.030000,0.000000,5.672000,10.000000,100.000000,
train_tae.29,97.345133,97.244455,94.444444,0.026549,0.027290,0.055556,0.980382,0.974353,0.969917,0.016000,0.000000,5.234000,10.000000,100.000000,
train_tae.3,99.115044,99.065366,97.222222,0.008850,0.009259,0.027778,0.993363,0.991417,0.989978,0.062000,0.000000,5.313000,1000.000000,1.000000,
train_tae.4,94.690265,94.661132,91.891892,0.053097,0.053130,0.081081,0.960021,0.947877,0.939701,0.032000,0.000000,4.921000,100.000000,1.000000,
train_tae.5,90.265487,90.189182,86.486486,0.097345,0.097713,0.135135,0.926160,0.904960,0.889067,0.031000,0.000000,4.859000,100.000000,0.100000,
train_tae.6,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.046000,0.000000,5.750000,1000.000000,1.000000,
train_tae.7,98.230088,98.112755,94.444444,0.017699,0.018519,0.055556,0.986802,0.983059,0.979882,0.078000,0.000000,5.829000,1000.000000,0.100000,
train_tae.8,99.115044,99.090859,97.297297,0.008850,0.009009,0.027027,0.993455,0.991421,0.990050,0.078000,0.000000,5.360000,1000.000000,1.000000,
train_tae.9,79.646018,79.195740,70.270270,0.203540,0.203049,0.297297,0.836730,0.802653,0.758480,0.031000,0.000000,6.296000,10.000000,0.100000,
