Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_toy.0,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.049000,0.000000,6.955000,1000.000000,0.100000,
train_toy.1,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.063000,0.000000,7.515000,1000.000000,0.100000,
train_toy.10,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.126000,0.000000,9.780000,1000.000000,0.100000,
train_toy.11,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,7.437000,1000.000000,0.100000,
train_toy.12,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.094000,0.000000,11.094000,1000.000000,0.100000,
train_toy.13,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.077000,0.000000,11.735000,1000.000000,0.100000,
train_toy.14,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,8.734000,1000.000000,0.100000,
train_toy.15,99.555556,99.690397,98.461538,0.004444,0.003077,0.015385,0.998416,0.996852,0.996634,0.031000,0.000000,6.594000,100.000000,0.100000,
train_toy.16,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,6.203000,1000.000000,0.100000,
train_toy.17,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,6.781000,1000.000000,0.100000,
train_toy.18,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.063000,0.000000,6.875000,1000.000000,0.100000,
train_toy.19,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.046000,0.031000,6.720000,1000.000000,0.100000,
train_toy.2,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.048000,0.015000,7.311000,1000.000000,0.100000,
train_toy.20,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.078000,0.000000,7.922000,1000.000000,0.100000,
train_toy.21,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.061000,0.000000,8.343000,1000.000000,0.100000,
train_toy.22,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.063000,0.000000,7.187000,1000.000000,0.100000,
train_toy.23,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,6.609000,1000.000000,0.100000,
train_toy.24,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.047000,0.000000,6.608000,1000.000000,0.100000,
train_toy.25,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.063000,0.016000,7.890000,1000.000000,0.100000,
train_toy.26,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,7.375000,1000.000000,0.100000,
train_toy.27,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.079000,0.000000,7.015000,1000.000000,0.100000,
train_toy.28,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,8.000000,1000.000000,0.100000,
train_toy.29,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,8.782000,1000.000000,0.100000,
train_toy.3,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.078000,0.000000,9.641000,1000.000000,0.100000,
train_toy.4,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.094000,0.000000,11.672000,1000.000000,0.100000,
train_toy.5,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.140000,0.000000,13.359000,1000.000000,0.100000,
train_toy.6,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.093000,0.000000,11.734000,1000.000000,0.100000,
train_toy.7,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.109000,0.015000,11.469000,1000.000000,0.100000,
train_toy.8,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.063000,0.000000,11.109000,1000.000000,0.100000,
train_toy.9,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.062000,0.000000,8.765000,1000.000000,0.100000,
