Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_pyrim10.0,76.000000,72.354095,40.000000,0.520000,0.520000,1.800000,0.913395,0.828880,0.840098,0.015000,0.016000,7.514000,100.000000,0.001000,
train_pyrim10.1,82.000000,80.756083,60.000000,0.300000,0.300000,1.200000,0.959700,0.912845,0.907293,0.016000,0.015000,7.437000,10.000000,0.010000,
train_pyrim10.10,92.000000,91.461010,80.000000,0.160000,0.160000,0.800000,0.973909,0.949201,0.950678,0.016000,0.000000,7.234000,0.001000,0.100000,
train_pyrim10.11,54.000000,50.419611,20.000000,1.140000,1.140000,2.400000,0.735295,0.605048,0.633205,0.015000,0.018000,6.970000,0.001000,0.010000,
train_pyrim10.12,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.016000,6.891000,100.000000,0.010000,
train_pyrim10.13,58.000000,50.953643,20.000000,1.060000,1.060000,2.400000,0.730826,0.637383,0.661125,0.016000,0.016000,6.578000,0.001000,0.010000,
train_pyrim10.14,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.000000,6.640000,10.000000,0.100000,
train_pyrim10.15,78.000000,76.734447,60.000000,0.380000,0.380000,0.800000,0.948722,0.900902,0.883149,0.015000,0.000000,6.671000,10.000000,0.010000,
train_pyrim10.16,58.000000,53.405655,20.000000,0.740000,0.740000,1.600000,0.898199,0.792336,0.770186,0.016000,0.016000,6.578000,0.001000,0.010000,
train_pyrim10.17,60.000000,0.000000,0.000000,0.700000,0.700000,2.200000,0.912422,0.802611,0.775353,0.018000,0.012000,8.297000,0.001000,0.010000,
train_pyrim10.18,58.000000,46.984758,20.000000,1.000000,1.000000,2.600000,0.810802,0.677507,0.673203,0.014000,0.014000,7.097000,0.001000,0.010000,
train_pyrim10.19,52.000000,47.849248,20.000000,1.060000,1.060000,2.200000,0.776803,0.649268,0.661125,0.014000,0.016000,7.251000,0.001000,0.010000,
train_pyrim10.2,80.000000,78.974019,60.000000,0.400000,0.400000,1.000000,0.940335,0.871106,0.876391,0.000000,0.018000,7.122000,10.000000,0.010000,
train_pyrim10.3,60.000000,54.964352,20.000000,1.060000,1.060000,2.600000,0.745060,0.621568,0.646195,0.015000,0.016000,7.235000,0.001000,0.010000,
train_pyrim10.4,80.000000,78.465974,60.000000,0.380000,0.380000,1.400000,0.943443,0.883941,0.882280,0.016000,0.015000,7.266000,10.000000,0.010000,
train_pyrim10.5,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.016000,7.031000,1.000000,10.000000,
train_pyrim10.6,82.000000,80.756083,60.000000,0.300000,0.300000,1.000000,0.957685,0.908688,0.908981,0.015000,0.016000,6.984000,10.000000,0.010000,
train_pyrim10.7,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.016000,7.673000,1000.000000,0.010000,
train_pyrim10.8,60.000000,54.038402,20.000000,0.960000,0.960000,2.400000,0.796858,0.675737,0.703337,0.014000,0.016000,7.439000,0.001000,0.010000,
train_pyrim10.9,78.000000,76.240809,60.000000,0.460000,0.460000,1.200000,0.923956,0.849619,0.857673,0.020000,0.012000,7.093000,10.000000,0.010000,
