Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_tae.0,96.460177,96.360366,94.444444,0.044248,0.045322,0.083333,0.954920,0.948200,0.950172,0.015000,0.016000,7.187000,1000.000000,0.100000,
train_tae.1,87.610619,87.530325,83.783784,0.141593,0.141834,0.162162,0.868623,0.845494,0.841404,0.063000,0.016000,7.641000,100.000000,0.010000,
train_tae.10,95.575221,95.436500,91.891892,0.053097,0.054054,0.108108,0.949269,0.940790,0.940443,0.016000,0.015000,7.452000,100.000000,1.000000,
train_tae.11,84.955752,84.871269,81.081081,0.194690,0.194502,0.243243,0.786920,0.765922,0.780505,0.016000,0.016000,7.421000,1000.000000,0.001000,
train_tae.12,94.690265,94.514541,91.666667,0.079646,0.081871,0.166667,0.904285,0.897175,0.910860,0.015000,0.016000,7.234000,1000.000000,0.100000,
train_tae.13,94.690265,94.661132,91.891892,0.079646,0.079233,0.102564,0.903885,0.897777,0.911665,0.031000,0.016000,7.328000,1000.000000,0.100000,
train_tae.14,97.345133,97.295962,94.736842,0.035398,0.036062,0.055556,0.960568,0.956736,0.960323,0.016000,0.016000,7.624000,1000.000000,1.000000,
train_tae.15,90.265487,90.211152,84.210526,0.115044,0.112461,0.179487,0.893442,0.875236,0.871781,0.016000,0.016000,7.344000,1000.000000,0.010000,
train_tae.16,97.345133,97.390908,94.871795,0.044248,0.042960,0.102564,0.940918,0.938425,0.950277,0.017000,0.014000,7.359000,1000.000000,1.000000,
train_tae.17,96.460177,96.505487,94.736842,0.053097,0.051732,0.102564,0.935191,0.930654,0.940547,0.015000,0.016000,6.859000,1000.000000,1.000000,
train_tae.18,92.920354,92.971779,89.743590,0.088496,0.087569,0.128205,0.907556,0.895652,0.900247,0.016000,0.016000,6.905000,10.000000,0.100000,
train_tae.19,76.991150,76.921204,69.230769,0.300885,0.298452,0.435897,0.671398,0.645101,0.659276,0.016000,0.014000,6.828000,100.000000,0.001000,
train_tae.2,92.035398,92.030284,87.179487,0.097345,0.095865,0.179487,0.903398,0.888889,0.890706,0.016000,0.014000,6.891000,1000.000000,0.010000,
train_tae.20,83.185841,83.166558,81.578947,0.203540,0.203141,0.230769,0.793288,0.766573,0.769857,0.014000,0.016000,6.763000,10.000000,0.010000,
train_tae.21,87.610619,87.555579,83.783784,0.159292,0.158928,0.179487,0.832081,0.813639,0.822791,0.015000,0.017000,6.813000,1000.000000,0.001000,
train_tae.22,96.460177,96.382620,91.891892,0.053097,0.053592,0.135135,0.934231,0.929773,0.940074,0.015000,0.016000,6.798000,1000.000000,1.000000,
train_tae.23,91.150442,91.141230,84.615385,0.115044,0.113698,0.205128,0.872330,0.858958,0.869038,0.015000,0.016000,7.203000,1000.000000,0.010000,
train_tae.24,96.460177,96.457162,94.736842,0.044248,0.043897,0.052632,0.953652,0.947331,0.950225,0.017000,0.014000,7.234000,100.000000,1.000000,
train_tae.25,94.690265,94.409640,86.486486,0.061947,0.063063,0.135135,0.943535,0.932914,0.931663,0.020000,0.011000,7.609000,1000.000000,0.100000,
train_tae.26,91.150442,91.166044,89.743590,0.115044,0.114635,0.153846,0.872967,0.859560,0.869850,0.015000,0.015000,7.516000,100.000000,0.010000,
train_tae.27,92.920354,92.847857,89.189189,0.097345,0.096327,0.153846,0.884886,0.875840,0.889147,0.016000,0.016000,7.266000,1.000000,1.000000,
train_tae.28,93.805310,93.823379,92.307692,0.088496,0.088057,0.128205,0.893220,0.885049,0.900141,0.017000,0.017000,7.639000,100.000000,1.000000,
train_tae.29,96.460177,96.360366,94.444444,0.035398,0.036062,0.055556,0.974192,0.965875,0.960014,0.030000,0.000000,7.344000,100.000000,1.000000,
train_tae.3,92.035398,92.026151,91.666667,0.106195,0.106800,0.138889,0.879872,0.868359,0.880170,0.015000,0.016000,7.579000,1000.000000,0.010000,
train_tae.4,92.920354,92.923837,87.179487,0.088496,0.086856,0.179487,0.908773,0.896309,0.900300,0.016000,0.000000,7.844000,1000.000000,0.010000,
train_tae.5,87.610619,87.277799,78.378378,0.141593,0.141834,0.216216,0.872285,0.848500,0.843436,0.016000,0.014000,7.547000,100.000000,0.010000,
train_tae.6,97.345133,97.220772,91.891892,0.026549,0.027027,0.081081,0.980867,0.974233,0.970535,0.032000,0.015000,7.452000,100.000000,1.000000,
train_tae.7,90.265487,90.211152,88.888889,0.132743,0.134091,0.194444,0.847819,0.834255,0.850595,0.016000,0.015000,7.265000,10.000000,0.100000,
train_tae.8,94.690265,94.613731,91.891892,0.061947,0.062601,0.108108,0.941722,0.930934,0.930302,0.016000,0.016000,7.373000,100.000000,1.000000,
train_tae.9,90.265487,90.189182,86.486486,0.123894,0.124278,0.135135,0.870277,0.854152,0.862027,0.016000,0.016000,7.250000,100.000000,0.100000,
