Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,C,k,
train_toy.0,99.555556,99.690397,98.461538,0.004444,0.003077,0.015385,0.998416,0.996852,0.996634,0.016000,0.016000,7.952000,100.000000,1.000000,
train_toy.1,97.777778,97.847522,95.384615,0.022222,0.021316,0.046154,0.992028,0.986384,0.983147,0.031000,0.000000,8.126000,10.000000,1.000000,
train_toy.10,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996821,0.993652,0.993272,0.016000,0.015000,7.641000,1000.000000,0.100000,
train_toy.11,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996821,0.993652,0.993272,0.016000,0.018000,7.999000,1000.000000,0.100000,
train_toy.12,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.014000,0.014000,9.081000,1000.000000,1.000000,
train_toy.13,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.031000,0.015000,9.282000,1000.000000,0.100000,
train_toy.14,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996814,0.993651,0.993264,0.016000,0.016000,8.937000,1000.000000,0.100000,
train_toy.15,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.017000,8.703000,1000.000000,0.100000,
train_toy.16,98.666667,98.475467,95.652174,0.013333,0.015116,0.043478,0.995173,0.991708,0.989816,0.016000,0.000000,8.233000,10.000000,1.000000,
train_toy.17,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996821,0.993652,0.993272,0.016000,0.000000,7.952000,100.000000,1.000000,
train_toy.18,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996814,0.993651,0.993264,0.031000,0.000000,8.015000,1000.000000,0.100000,
train_toy.19,99.555556,99.690397,98.461538,0.004444,0.003077,0.015385,0.998416,0.996852,0.996634,0.031000,0.015000,8.157000,1000.000000,0.100000,
train_toy.2,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996814,0.993651,0.993264,0.016000,0.015000,8.125000,1000.000000,0.100000,
train_toy.20,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.016000,7.936000,1000.000000,1.000000,
train_toy.21,99.111111,99.376899,96.923077,0.008889,0.006154,0.030769,0.996836,0.994580,0.993285,0.031000,0.000000,7.750000,10.000000,1.000000,
train_toy.22,99.555556,99.690397,98.461538,0.004444,0.003077,0.015385,0.998416,0.996852,0.996634,0.016000,0.016000,7.812000,100.000000,1.000000,
train_toy.23,99.111111,99.376899,96.923077,0.008889,0.006154,0.030769,0.996844,0.993755,0.993263,0.016000,0.016000,7.719000,1000.000000,0.100000,
train_toy.24,99.555556,99.690397,98.461538,0.004444,0.003077,0.015385,0.998416,0.996852,0.996634,0.014000,0.017000,7.829000,100.000000,1.000000,
train_toy.25,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.015000,0.015000,8.719000,1000.000000,0.100000,
train_toy.26,99.111111,99.376899,96.923077,0.008889,0.006154,0.030769,0.996844,0.993755,0.993263,0.016000,0.016000,7.953000,1000.000000,0.100000,
train_toy.27,98.666667,99.043411,96.923077,0.013333,0.009487,0.030769,0.995166,0.990410,0.989824,0.047000,0.015000,8.219000,1000.000000,0.100000,
train_toy.28,99.555556,99.658695,98.305085,0.004444,0.003390,0.016949,0.998403,0.996818,0.996617,0.015000,0.016000,8.125000,100.000000,1.000000,
train_toy.29,99.555556,99.690397,98.461538,0.004444,0.003077,0.015385,0.998394,0.996820,0.996608,0.016000,0.016000,8.125000,1000.000000,0.100000,
train_toy.3,99.555556,99.658695,98.305085,0.004444,0.003390,0.016949,0.998417,0.996850,0.996634,0.015000,0.016000,7.906000,100.000000,1.000000,
train_toy.4,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.016000,0.015000,7.828000,1000.000000,1.000000,
train_toy.5,99.111111,99.376899,96.923077,0.008889,0.006154,0.030769,0.996844,0.993755,0.993263,0.016000,0.014000,7.751000,1000.000000,0.100000,
train_toy.6,99.111111,99.376899,96.923077,0.008889,0.006154,0.030769,0.996844,0.993755,0.993263,0.016000,0.015000,7.968000,1000.000000,0.100000,
train_toy.7,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996844,0.994088,0.993268,0.016000,0.015000,8.031000,1000.000000,0.100000,
train_toy.8,99.111111,99.350148,98.305085,0.008889,0.006467,0.016949,0.996814,0.993651,0.993264,0.014000,0.017000,7.860000,1000.000000,0.100000,
train_toy.9,97.777778,98.336735,95.384615,0.022222,0.016486,0.046154,0.991922,0.984405,0.983009,0.014000,0.020000,7.720000,10.000000,1.000000,
